0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:30 +0530] "GET /log/ HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:30 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:30 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:33 +0530] "GET /log/login HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:33 +0530] "GET /log/resources/styles/login.css HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "POST /log/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "GET /log/dashboard HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "GET /log/resources/styles/dashboard.css HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "GET /log/resources/styles/med1.jpg HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "GET /log/resources/styles/aq.jpeg HTTP/1.1" 200 43521
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "GET /log/resources/styles/expert_advice.jpeg HTTP/1.1" 200 11168
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:45 +0530] "GET /log/resources/styles/bg6.jpg HTTP/1.1" 200 66749
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:47 +0530] "GET /log/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:47 +0530] "GET /log/ HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:48 +0530] "GET /log/resources/styles/welcome.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [05/Oct/2021:13:27:48 +0530] "GET /log/resources/styles/bg8.png HTTP/1.1" 200 324616
